,List_Of_Methods,Mean,NumSelected,RelIndexs,STD
AA_Glycine.2tms,"['VIP', 'PIMP', 'Vita']",40.0,3,"[34, 37, 49]",6.48074069840786
RP_C0596,"['VIP', 'PIMP', 'Vita']",91.0,3,"[168, 17, 88]",61.68198008062538
EI_C0842,"['VIP', 'PIMP', 'Vita']",6.666666666666667,3,"[7, 5, 8]",1.247219128924647
RP_C0721,"['VIP', 'PIMP', 'Vita']",52.666666666666664,3,"[10, 54, 94]",34.30581421404962
RP_C0665,"['VIP', 'PIMP', 'Vita']",75.66666666666667,3,"[42, 49, 136]",42.7577153531643
EI_C0854,"['VIP', 'PIMP', 'Vita']",31.0,3,"[15, 49, 29]",13.9522996909709
EI_C0855,"['VIP', 'PIMP', 'Vita']",36.666666666666664,3,"[23, 31, 56]",14.055445761538678
RP_C0617,"['VIP', 'PIMP', 'Vita']",103.66666666666667,3,"[81, 56, 174]",50.769632218045025
RP_C0611,"['VIP', 'PIMP', 'Vita']",15.666666666666666,3,"[11, 9, 27]",8.055363982396381
RP_C0573,"['VIP', 'PIMP', 'Vita']",82.33333333333333,3,"[192, 40, 15]",78.21480394116932
RP_C1699,"['VIP', 'PIMP', 'Vita']",12.666666666666666,3,"[4, 12, 22]",7.363574011458175
EI_C0989,"['VIP', 'PIMP', 'Vita']",16.666666666666668,3,"[24, 13, 13]",5.185449728701348
EI_C0995,"['VIP', 'PIMP', 'Vita']",0.3333333333333333,3,"[0, 0, 1]",0.4714045207910317
RP_C0492,"['VIP', 'PIMP', 'Vita']",28.666666666666668,3,"[1, 21, 64]",26.284765338288427
RP_C0476,"['VIP', 'PIMP', 'Vita']",4.333333333333333,3,"[6, 3, 4]",1.247219128924647
RP_C0475,"['VIP', 'PIMP', 'Vita']",105.66666666666667,3,"[85, 39, 193]",64.54627969311804
RP_C0415,"['VIP', 'PIMP', 'Vita']",34.0,3,"[12, 33, 57]",18.384776310850235
RP_C0371,"['VIP', 'PIMP', 'Vita']",47.0,3,"[8, 28, 105]",41.817061908587824
RP_C0722,"['VIP', 'PIMP', 'Vita']",41.333333333333336,3,"[21, 60, 43]",15.965240019770729
RP_C0733,"['VIP', 'PIMP', 'Vita']",79.0,3,"[31, 35, 171]",65.07431649019962
RP_C0911,"['VIP', 'PIMP', 'Vita']",74.33333333333333,3,"[17, 59, 147]",54.168461508725
RP_C0947,"['VIP', 'PIMP', 'Vita']",122.33333333333333,3,"[165, 161, 41]",57.53453069437712
RP_C1530,"['VIP', 'PIMP', 'Vita']",106.33333333333333,3,"[114, 81, 124]",18.372685039360892
RP_C1528,"['VIP', 'PIMP', 'Vita']",5.0,3,"[14, 0, 1]",6.377042156569663
EI_C0531,"['VIP', 'PIMP', 'Vita']",18.0,3,"[22, 16, 16]",2.8284271247461903
EI_C0532,"['VIP', 'PIMP', 'Vita']",2.0,3,"[3, 1, 2]",0.816496580927726
EI_C0540,"['VIP', 'PIMP', 'Vita']",53.333333333333336,3,"[47, 63, 50]",6.944222218666553
RP_C1416,"['VIP', 'PIMP', 'Vita']",30.333333333333332,3,"[76, 5, 10]",32.355662392986005
EI_C0580,"['VIP', 'PIMP', 'Vita']",24.0,3,"[10, 28, 34]",10.198039027185569
EI_C0581,"['VIP', 'PIMP', 'Vita']",60.333333333333336,3,"[56, 41, 84]",17.82008853949821
EI_C0599,"['VIP', 'PIMP', 'Vita']",26.0,3,"[28, 30, 20]",4.320493798938574
RP_C1287,"['VIP', 'PIMP', 'Vita']",25.0,3,"[5, 42, 28]",15.253414918196734
RP_C1237,"['VIP', 'PIMP', 'Vita']",86.0,3,"[20, 139, 99]",49.44357052910587
RP_C1229,"['VIP', 'PIMP', 'Vita']",100.66666666666667,3,"[128, 140, 34]",47.39432689913659
RP_C1158,"['VIP', 'PIMP', 'Vita']",24.333333333333332,3,"[2, 20, 51]",20.23747898221405
EI_C0712,"['VIP', 'PIMP', 'Vita']",14.0,3,"[14, 14, 14]",0.0
EI_C0722,"['VIP', 'PIMP', 'Vita']",51.666666666666664,3,"[36, 72, 47]",15.062831370260005
RP_C0341,"['VIP', 'PIMP', 'Vita']",15.0,3,"[9, 6, 30]",10.677078252031311
RP_C0337,"['VIP', 'PIMP', 'Vita']",136.33333333333334,3,"[158, 142, 109]",20.401524997465806
EI_C1148,"['VIP', 'PIMP', 'Vita']",50.0,3,"[29, 36, 85]",24.91318258807306
RP_C0029,"['VIP', 'PIMP', 'Vita']",35.0,3,"[13, 29, 63]",20.848661028149188
RP_C0025,"['VIP', 'PIMP', 'Vita']",106.33333333333333,3,"[34, 118, 167]",54.92014404771916
NA_C115,"['VIP', 'PIMP', 'Vita']",39.0,3,"[63, 24, 30]",17.146428199482248
"NA_Isovaleric acid, 2-oxo- (1MEOX) (1TMS) MP","['VIP', 'PIMP', 'Vita']",11.666666666666666,3,"[3, 15, 17]",6.182412330330469
NA_Hydroxylamine (3TMS),"['VIP', 'PIMP', 'Vita']",24.666666666666668,3,"[15, 31, 28]",6.944222218666553
NA_C180,"['VIP', 'PIMP', 'Vita']",37.666666666666664,3,"[18, 50, 45]",14.055445761538676
NA_C780,"['VIP', 'PIMP', 'Vita']",11.666666666666666,3,"[5, 16, 14]",4.784233364802441
NA_C769,"['VIP', 'PIMP', 'Vita']",7.666666666666667,3,"[14, 5, 4]",4.4969125210773475
NA_C297,"['VIP', 'PIMP', 'Vita']",3.3333333333333335,3,"[4, 3, 3]",0.4714045207910317
NA_C391,"['VIP', 'PIMP', 'Vita']",57.333333333333336,3,"[43, 67, 62]",10.338708279513883
NA_C392,"['VIP', 'PIMP', 'Vita']",16.666666666666668,3,"[21, 18, 11]",4.189935029992178
NA_C683,"['VIP', 'PIMP', 'Vita']",58.333333333333336,3,"[64, 51, 60]",5.436502143433364
NA_C678,"['VIP', 'PIMP', 'Vita']",8.666666666666666,3,"[0, 11, 15]",6.342099196813483
NA_C593,"['VIP', 'PIMP', 'Vita']",13.666666666666666,3,"[1, 19, 21]",8.993825042154695
NA_C566,"['VIP', 'PIMP', 'Vita']",68.66666666666667,3,"[60, 73, 73]",6.128258770283413
NA_C507,"['VIP', 'PIMP', 'Vita']",19.666666666666668,3,"[12, 23, 24]",5.436502143433364
EI_Sucrose (8TMS),"['VIP', 'PIMP', 'Vita']",18.333333333333332,3,"[43, 12, 0]",18.116904322268255
RP_C0050,"['VIP', 'PIMP', 'Vita']",64.33333333333333,3,"[63, 47, 83]",14.72714802291635
EI_C1149,"['VIP', 'PIMP', 'Vita']",8.666666666666666,3,"[4, 10, 12]",3.39934634239519
EI_Phosphoric acid (3TMS),"['VIP', 'PIMP', 'Vita']",2.0,3,"[1, 2, 3]",0.816496580927726
EI_C1157,"['VIP', 'PIMP', 'Vita']",9.0,3,"[6, 11, 10]",2.160246899469287
RP_C0323,"['VIP', 'PIMP', 'Vita']",23.333333333333332,3,"[29, 22, 19]",4.189935029992178
RP_C0279,"['VIP', 'PIMP', 'Vita']",132.66666666666666,3,"[171, 95, 132]",31.030450993965413
RP_C0259,"['VIP', 'PIMP', 'Vita']",62.333333333333336,3,"[38, 11, 138]",54.62803513052819
RP_C0217,"['VIP', 'PIMP', 'Vita']",28.666666666666668,3,"[16, 37, 33]",9.104333522498443
